QuestionID,QuestionText,OptionA,OptionB,OptionC,OptionD,Marks,Type,
1,以下哪一項硬件同時具備輸入和輸出的功能？,輕觸式屏幕 (Touch Screen),繪圖板 (Graphics Tablet),網絡攝影機 (Webcam),揚聲器 (Speaker),1,MC,
2,以下哪項關於數據 (Data) 和資訊 (Information) 的描述是正確的？,"一組學生的身高數字列表（例如：165 ,172,168）是資訊。",處理數據的目的是將其轉換為有意義的資訊。,數據必定是數字，而資訊必定是文字。,「輸入-處理-輸出」週期中的「輸出」必定是數據。,1,MC,
3,在資訊處理的七個階段中，將數據上傳到雲端儲存服務屬於哪個階段？,收集 (Collection),組織 (Organization),傳輸 (Transmission),分析 (Analysis),1,MC,
4,某個網上登記系統要求用戶輸入的出生日期必須在「完成日期」之前。這應用了哪一種數據有效性檢驗？,類型檢查 (Type check),範圍檢查 (Range check),一致性檢查 (Consistency check),唯一性檢查 (Uniqueness check),1,MC,
5,"當收銀員掃描商品條碼時，系統發出嗶聲並顯示商品資訊。這個過程涉及以下哪些步驟？(1) 輸入	(2) 處理	(3) 輸出",只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),1,MC,
6,哪種儲存設備是以順序存取 (sequential access) 方式運作的？,固態硬碟 (SSD),唯讀光碟 (CD-ROM),磁帶 (Magnetic Tape),USB 快閃記憶體,1,MC,
7,一個8位元二進制代碼在奇偶檢測中傳送。若採用偶數檢測，而數據位是 1011 0010，則包含奇偶檢驗位的完整代碼是甚麼？,1011 0010 0,1011 0010 1,0 1011 0010,1 1011 0010,1,MC,
8,以下哪個數字的值是最小的？,1101 1100₂,222₁₀,DC₁₆,341₈,1,MC,
9,將十進制數 89 轉換為 8 位元二進制補碼 (two's complement) 是甚麼？,01011001,10100111,11011001,01011010,1,MC,
10,以下哪種關於向量圖 (vector image) 的描述是正確的？,它是由像素組成的。,放大後影像會變得模糊。,檔案大小通常比點陣圖大。,它使用數學公式來儲存影像。,1,MC,
11,一個由8位元組成的二進制數最多可以表示多少個不同的樣式？,8,16,128,256,1,MC,
12,某個需要8位數字的密碼，每個數位可以是 0-9 的數字或 A-F 的字母。這總共可以產生多少種不同的密碼組合？,10⁸,16⁸,8¹⁰,8¹⁶,1,MC,
13,下列哪些是電子政府的優點？(1)政府資訊能以數位形式被大眾輕鬆取得。(2)強化政府資訊的數據安全性。(3)有助於減少社會的數碼隔閡,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),1,MC,A
14,下列哪幾項是資訊時代的特徵？(1)資訊透過網路大規模傳播 (2)民眾能夠快速獲取資訊 (3)網路上的所有公司資料都絕對準確,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),1,MC,A
15,當您建立一個線上電子郵件帳號時，系統會要求您輸入密碼兩次，請問重新輸入密碼的主要目的是什麼？,數據收集,數據驗證,數據組織,數據有效性檢驗,1,MC,B
16,更改學校內部網路帳號密碼時，以下哪種操作屬於數據驗證的範例？,輸入新密碼兩次,輸入新密碼和流動電話號碼,輸入最少包含一個特殊字符的新密碼,輸入與舊密碼相異的新密碼,1,MC,A
17,參考下面的數據庫表 STUDENT，欄位 SID 的數據類型可能是什麼？,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),1,MC,B
18,一個包含「*HI*」字串的文字檔案，經程式檢查其十六進制 ASCII 編碼為「2A 48 49 2A」。請問儲存此字串需要多少位元？,8,16,32,64,1,MC,C
19,下列哪個十進制數值相等於以 8 位元二進制補碼表示的 1010 0101？,33,-33,91,-91,1,MC,D
20,下列哪個以 8 位元二進制補碼表示數字的加法運算，會引至上溢錯誤？,0111 0000 + 0001 0000,0101 0000 + 1000 0001,0011 0000 + 0011 0000,0111 1111 + 0000 0000,1,MC,A
