QuestionID,QuestionText,OptionA,OptionB,OptionC,OptionD,Marks,Type
1,"以下哪一項硬件同時具備輸入和輸出的功能？",輕觸式屏幕 (Touch Screen),繪圖板 (Graphics Tablet),網絡攝影機 (Webcam),揚聲器 (Speaker),1,MC
2,"以下哪項關於數據 (Data) 和資訊 (Information) 的描述是正確的？",一組學生的身高數字列表（例如：165, 172, 168）是資訊。,處理數據的目的是將其轉換為有意義的資訊。,數據必定是數字，而資訊必定是文字。,"「輸入-處理-輸出」週期中的「輸出」必定是數據。",1,MC
3,"某位網絡管理員的主要職責是甚麼？",設計和管理數據庫。,根據系統分析師的設計開發系統。,協助終端用戶使用資訊系統。,監控電腦系統之間的網絡通信。,1,MC
4,"在資訊處理的七個階段中，將數據上傳到雲端儲存服務屬於哪個階段？",收集 (Collection),組織 (Organization),傳輸 (Transmission),分析 (Analysis),1,MC
5,"某個網上登記系統要求用戶輸入的出生日期必須在「完成日期」之前。這應用了哪一種數據有效性檢驗？",類型檢查 (Type check),範圍檢查 (Range check),一致性檢查 (Consistency check),唯一性檢查 (Uniqueness check),1,MC
6,"在數據庫中，用於描述單一實體（例如一名特定學生）的所有相關屬性的集合稱為什麼？",欄 (Field),記錄 (Record),檔案 (File),數據庫 (Database),1,MC
7,"當收銀員掃描商品條碼時，系統發出嗶聲並顯示商品資訊。這個過程涉及以下哪些步驟？(1) 輸入(2) 處理 (3) 輸出, 只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),1,MC
8,"哪種儲存設備是以順序存取 (sequential access) 方式運作的？",固態硬碟 (SSD),唯讀光碟 (CD-ROM),磁帶 (Magnetic Tape),USB 快閃記憶體,1,MC
9,"一個8位元二進制代碼在奇偶檢測中傳送。若採用偶數檢測 (even parity)，而數據位是 1011 0010，則包含奇偶檢驗位的完整代碼是甚麼？",1011 0010 0,1011 0010 1,0 1011 0010,1 1011 0010,1,MC
10,"以下哪個數字的值是最小的？",1101 1100₂,222₁₀,DC₁₆,341₈,1,MC
11,"將十進制數 89 轉換為 8 位元二進制補碼 (two's complement) 是甚麼？",01011001,10100111,11011001,01011010,1,MC
12,"以下哪種關於向量圖 (vector image) 的描述是正確的？",它是由像素組成的。,放大後影像會變得模糊。,檔案大小通常比點陣圖大。,它使用數學公式來儲存影像。,1,MC
13,"一個需要包含繁體中文、日文和英文的文檔，最應使用哪種字符編碼系統？",ASCII,Big-5,Unicode,GB Code (國標碼),1,MC
14,"一個由8位元組成的二進制數最多可以表示多少個不同的樣式？",8,16,128,256,1,MC
15,"某個需要8位數字的密碼，每個數位可以是 0-9 的數字或 A-F 的字母。這總共可以產生多少種不同的密碼組合？",10⁸,16⁸,8¹⁰,8¹⁶,1,MC
16,"將未壓縮的音訊檔案轉換為 MP3 格式，主要利用了以下哪種技術？",無損壓縮 (Lossless compression),有損壓縮 (Lossy compression),數位化 (Digitalisation),加密 (Encryption),1,MC
17,"以下關於條碼 (barcode) 和二維碼 (QR code) 的比較，哪一項是錯誤的？",二維碼通常能儲存比條碼更多的數據。,二維碼可以從任何方向掃描，而條碼通常只能從特定角度掃描。,條碼和二維碼都具備糾正錯誤的能力。,二維碼可以表示統一碼字符，而一些條碼只能表示數字。,1,MC
18,"一個 24 位元色深的圖像，其解像度為 800 x 600 像素。計算該圖像未壓縮的檔案大小 (以 MB 為單位)。",≈ 1.37 MB,≈ 1.44 MB,≈ 11.52 MB,≈ 1.15 MB,1,MC
19,"在8位元二進制補碼系統中，進行 0110 0101 + 1100 1100 的運算。這會導致哪種錯誤？",轉錄錯誤 (Transcription error),換位錯誤 (Transposition error),溢位錯誤 (Overflow error),奇偶檢驗錯誤 (Parity error),1,MC
20,"小明使用掃描器將一份紙本文件轉換為數碼圖像，然後使用光符識別 (OCR) 軟件將圖像轉換為可編輯的文字檔案。這個過程涉及哪種轉換？",模擬數據轉換為模擬數據 (Analog to Analog),模擬數據轉換為數碼數據 (Analog to Digital),數碼數據轉換為模擬數據 (Digital to Analog),數碼數據轉換為數碼數據 (Digital to Digital),1,MC
